,patentCaseMetadata.applicationNumberText.value,patentCaseMetadata.applicationStatusCategory,patentCaseMetadata.applicationTypeCategory,patentCaseMetadata.businessEntityStatusCategory,patentCaseMetadata.firstInventorToFileIndicator,patentCaseMetadata.filingDate,patentCaseMetadata.applicationStatusDate,patentCaseMetadata.groupArtUnitNumber.value,patentCaseMetadata.inventionTitle.content
0,17312149,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-03,2022-02-15,OPAP,"['DEVICE FOR GENERATING VIBRATIONS, GROUND COMPACTION MACHINE, AND METHOD OF OPERATING']"
1,17437554,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-03,2022-02-28,OPAP,['MOLDING DEVICE FOR A DENTAL IMPLANT']
2,17624444,Sent to Classification contractor,Utility,SMALL,true,2022-01-03,2022-03-22,,['ACTIVE IMPLANTABLE MEDICAL DEVICE HAVING TRANSPARENT ENCAPSULATION']
3,35513619,Docketed New Case - Ready for Examination,Design,MICRO,true,2022-01-03,2022-03-09,2900,['Snack bag']
4,35513640,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-03,2022-03-04,2913,['Head lamp for automobile']
5,17624566,Sent to Classification contractor,Utility,SMALL,true,2022-01-03,2022-03-25,,"['Anti-viral, anti-bacterial and anti-fungal portable personal toilet seat that is resistant to algae, mold and mildew and that can be safely folded and held without the danger of pinched fingers']"
6,35513594,Docketed New Case - Ready for Examination,Design,UNDISCOUNTED,true,2022-01-03,2022-03-30,2900,['Front bumper cover for automobile']
7,35513645,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-03,2022-03-04,2913,['Front bumper cover for automobile']
8,35513813,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-03,2022-03-30,2913,['Rear bumper upper cover for automobile']
9,35513647,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-03,2022-03-04,2913,['Rear combination lamp for automobile']
10,35513830,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-03,2022-03-29,2913,['Rear door panel for automobile']
11,17597377,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-04,2022-03-22,,"['METHOD FOR PRODUCING POLYARYLENE SULFIDE, DEHYDRATION METHOD, AND DEVICE FOR PRODUCING POLYARYLENE SULFIDE']"
12,17597345,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-04,2022-03-22,,['Process for producing alkyl methacrylates and optionally methacrylic acid']
13,17597367,Sent to Classification contractor,Utility,SMALL,true,2022-01-04,2022-03-22,,['LOCATING DEVICES']
14,17413226,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-04,2022-02-14,OPAP,['Electrical Machine with Heat Sinks which are Separated From One Another']
15,17606886,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-04,2022-03-28,,['METHOD AND COMPUTER PROGRAMME FOR DISCOVERING POSSIBLE ERRORS IN A PRODUCTION PROCESS']
16,17624733,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-04,2022-03-21,,"['METHANE PRODUCTION APPARATUS, METHANE PRODUCTION METHOD, CARBON DIOXIDE RECOVERY APPARATUS, AND CARBON DIOXIDE RECOVERY METHOD']"
17,17624810,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-04,2022-03-21,,['EXPANDING STORAGE BAGS']
18,17624812,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-04,2022-03-21,,['METHOD AND SYSTEM USING AI CALL PREDICTION AND CACHE']
19,35513670,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-04,2022-03-16,2913,['Set of socks with packaging']
20,17273371,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-04,2022-02-18,OPAP,"['CONTAINER ARRANGEMENT, METHOD OF FILLING A CONTAINER ARRANGEMENT, AND USE OF A SOLUTION AS A DIALYSIS SOLUTION']"
21,17647004,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,true,2022-01-04,2022-01-10,3993,['JOBSITE COMMUNICATIONS CENTER']
22,17624828,Sent to Classification contractor,Utility,SMALL,true,2022-01-04,2022-03-16,,"['A COMPOSITION, A KIT AND USE THEREOF']"
23,17624685,Non Final Action Mailed,Utility,UNDISCOUNTED,true,2022-01-04,2022-03-09,2862,['METHODS TO SIMULATE CONTINUOUS WAVE LIDAR SENSORS']
24,17420381,Docketed New Case - Ready for Examination,Utility,MICRO,true,2022-01-05,2022-02-09,OPAP,['METHOD FOR CO-DIAGNOSIS OF RALSTONIA SOLANACEARUM AND FUSARIUM OXYSPORUM BY USING SEMI-QUANTITATIVE LATERAL FLOW IMMUNODIAGNOSTIC TECHNIQUE AND KIT FOR USE THEREIN']
25,17624609,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-04,2022-03-21,,['ALDEHYDE CONTENT REDUCTION PROCESS AND RECYCLED POLYOLEFIN WITH LOW ALDEHYDE CONTENT']
26,17275412,Sent to Classification contractor,Utility,SMALL,true,2022-01-05,2022-03-02,,['NET STABILIZATION AS A THERAPY FOR SEPSIS']
27,17569113,Docketed New Case - Ready for Examination,Re-Issue,SMALL,true,2022-01-05,2022-01-10,3992,"['HISTORY MANAGEMENT PAD OF SEMICONDUCTOR TEST SOCKET, MANUFACTURING METHOD THEREOF, AND SEMICONDUCTOR TEST DEVICE INCLUDING HISTORY MANAGEMENT PAD']"
28,17624897,Sent to Classification contractor,Utility,SMALL,true,2022-01-05,2022-03-21,,['HIGH-GAIN QUASI-RESONANT DC-DC CONVERTER BASED ON VOLTAGE DOUBLING RECTIFIER CIRCUIT']
29,35513596,"Application Dispatched from Preexam, Not Yet Docketed",Design,SMALL,true,2022-01-05,2022-03-07,2913,['Electric panel compact block']
30,17569453,Application Undergoing Preexam Processing,Re-Issue,SMALL,Other,2022-01-05,2022-01-06,1674,['ANTIVIRAL AGENTS']
31,17624766,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-04,2022-03-21,,"['COLLECTION SUPPORT SYSTEM, COLLECTION TERMINAL DEVICE, COLLECTION SUPPORT DEVICE, AND COLLECTION SUPPORT METHOD']"
32,35513762,Docketed New Case - Ready for Examination,Design,SMALL,true,2022-01-05,2022-03-30,2900,['Steering wheel for game systems']
33,17625008,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-05,2022-03-22,,['FILMS AND BAGS HAVING GRADIENT DEFORMATION PATTERNS']
34,17597421,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-05,2022-03-22,,['METHODS AND APPARATUS OF MAINTENANCE SCHEDULING IN AUTOMATED TESTING OVER A PLANNING PERIOD']
35,17310020,Non Final Action Mailed,Utility,SMALL,true,2022-01-05,2022-03-17,1618,['GOLD/QUANTUM DOT NANOPROBE FOR DETECTING ACTIVE RICIN IN COMPLEX MATRIX AND APPLICATION THEREOF']
36,17569902,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,true,2022-01-06,2022-01-10,3991,['INTEGRATED CIRCUIT DEVICES']
37,17624866,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-05,2022-03-23,IWPI,['FURNISHING ELEMENT HINGE AND FURNISHING ELEMENT']
38,17597442,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-06,2022-03-25,OPAP,['BUILD MATERIALS FOR ADDITIVE MANUFACTURING APPLICATIONS']
39,96000389,SE ready for Pubs Processing -- Certificate in IFW,Re-Examination,UNDISCOUNTED,true,2022-01-05,2022-02-09,3991,['PYRIMIDINYLOXY BENZENE DERIVATIVES AS HERBICIDES']
40,17570131,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,true,2022-01-06,2022-01-19,3993,['IMAGE FORMING APPARATUS INCLUDING MAIN RIBS RESPECTIVELY CORRESPONDING TO SHEETS OF PLURAL SIZES AND SUB-RIB LOWER THAN MAIN RIB']
41,17414011,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-06,2022-02-15,OPAP,['POROUS MEMBRANE FOR SINGLE PARTICLE ANALYSIS']
42,17624947,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-05,2022-03-21,,['POWDER BED FUSION MATERIAL AND METHOD']
43,17597443,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-06,2022-03-14,OPAP,['ELECTROACTIVE COMPOUNDS']
44,17597446,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-06,2022-03-03,OPAP,['PHOTO-ALIGNABLE POSITIVE C-PLATE RETARDER']
45,17625188,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-06,2022-03-22,,['POLYAMIDE RESIN COMPOSITION AND MOLDED ARTICLE OBTAINED BY MOLDING SAME']
46,17625178,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-06,2022-03-11,,['OPTICAL UNIT AND SYSTEM FOR PRODUCING A THREE-DIMENSIONAL WORKPIECE']
47,35513488,Docketed New Case - Ready for Examination,Design,UNDISCOUNTED,true,2022-01-06,2022-02-19,2900,['Bottle']
48,17597445,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-06,2022-02-22,OPAP,['MAGNETIC BEARING DEVICE HAVING A TOROIDAL DESIGN']
49,35513603,Docketed New Case - Ready for Examination,Design,SMALL,true,2022-01-06,2022-03-02,2900,['Foldable table']
50,35513772,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-06,2022-03-21,2913,['Lock']
51,17428405,Sent to Classification contractor,Utility,SMALL,true,2022-01-05,2022-01-28,2491,['ENCRYPTION AND DECRYPTION METHOD AND DEVICE BASED ON BIT PERMUTATION AND BIT TRANSFORMATION']
52,17625288,Sent to Classification contractor,Utility,SMALL,true,2022-01-06,2022-03-22,,['Holographic Display Device and Method of Use']
53,17625320,Sent to Classification contractor,Utility,SMALL,true,2022-01-06,2022-03-22,,['METHOD OF SEMI-SUPERVISED DATA COLLECTION AND MACHINE LEARNING LEVERAGING DISTRIBUTED COMPUTING DEVICES']
54,35513611,Docketed New Case - Ready for Examination,Design,SMALL,true,2022-01-06,2022-03-02,2900,['Foldable chair frame']
55,17597449,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-06,2022-03-16,OPAP,['DRUG-ELUTING STENT']
56,PCT/US22/11496,Search report counted,PCT,SMALL,Other,2022-01-06,2022-03-30,3902,"['SYSTEMS, DEVICES, AND METHODS FOR OBSERVING AND/OR SECURING DATA ACCESS TO A COMPUTER NETWORK']"
57,17597465,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-06,2022-03-18,OPAP,['SINGLE SUBSTRATE MULTIPLEXER']
58,17625299,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-06,2022-03-25,OPAP,['Switching device and voltage limiting device having a switching device']
59,17625267,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-06,2022-03-22,OPAP,['COMPOSITIONS AND METHODS FOR DIAGNOSING URINARY TRACT OBSTRUCTION']
60,17597468,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-06,2022-03-14,OPAP,['THIN-FILM LITAO3 SAW RESONATOR ON SILICON SUBSTRATE WITH REDUCED SPURIOUS MODES']
61,17625342,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-07,2022-03-22,,"['ABNORMAL PORTION DETECTING DEVICE, METHOD OF DETECTING ABNORMAL PORTION, AND RECORDING MEDIUM']"
62,17570935,Docketed New Case - Ready for Examination,Re-Issue,SMALL,true,2022-01-07,2022-01-13,3992,['BI-PLANE WIRELESS POWER TRANSMISSION PAD']
63,17570967,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,false,2022-01-07,2022-03-23,3992,['APPLICATION PROGRAMMING INTERFACE FOR PROVIDING NATIVE AND NON-NATIVE DISPLAY UTILITY']
64,17597476,Sent to Classification contractor,Utility,SMALL,true,2022-01-07,2022-03-16,,['PORTABLE DEPILATION INSTRUMENT']
65,17285224,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-07,2022-01-26,3626,"['NURSING ASSISTANCE DEVICE, NURSING ASSISTANCE METHOD, AND RECORDING MEDIUM']"
66,17571311,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,false,2022-01-07,2022-01-18,3992,['DISAGGREGATED RESOURCES AND ACCESS METHODS']
67,17279386,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-07,2022-01-25,OPAP,['METHODS AND COMPOSITIONS TO TREAT AND PREVENT INFECTION']
68,17597448,,Utility,SMALL,Other,2022-01-06,,1648,['PAPER LATERAL FLOW IMMUNOASSAY']
69,17625457,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-07,2022-03-22,,['Power Semiconductor Module with Integrated Surge Arrester']
70,17283142,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-07,2022-03-04,OPAP,"['SYSTEM, PROGRAM, AND METHOD']"
71,16629491,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-07,2022-01-26,OPAP,['ANTAGONISTS OF THE MUSCARINIC ACETYLCHOLINE RECEPTOR M4']
72,17625748,Sent to Classification contractor,Utility,SMALL,true,2022-01-08,2022-03-23,,['Annuloplasty Device']
73,17571726,Application Undergoing Preexam Processing,Re-Issue,UNDISCOUNTED,Other,2022-01-10,2022-01-10,2883,['FIBER OPTIC LOCAL CONVERGENCE POINTS FOR MULTIPLE DWELLING UNITS']
74,17625749,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-08,2022-03-23,,['CUBIC BORON NITRIDE SINTERED MATERIAL AND METHOD OF PRODUCING SAME']
75,90014936,Non-Final Action Mailed,Re-Examination,UNDISCOUNTED,true,2022-01-07,2022-03-02,3991,['MESH MATERIAL FOR FLEXIBLE STRUCTRUES AND METHODS OF FABRICATING SAME']
